タイムスタンプ,In which previous funds have you voted?,Other than voting have you actively participated in Cardano Project Catalyst?,"Other than English and Japaneses, which languages you do speak or believe are important to the Catalyst Community?",Please give us an indication of your age group.,The role of the dRep was recently announced. Do you see value in being able to assign your vote to a proxy?,In relation to the dRep position please briefly provide your thoughts and opinion about this new role. ,Did you vote in Fund 7,"In relation to your Fund 7 vote, how many proposals did you vote positive for?",What attracted you to certain proposals that you voted up?,How many proposals did you vote negative for?,What attracted you to certain proposals that you voted down?,Is there anything in a proposal that will lead to an automatic down vote?,How much time did you spend on each proposal when considering it for your vote?,How much time did you spend on each proposal when considering it for your vote?,Do you have an Ideascale account?,"In relation to Fund 6 voting, did you read the proposals you voted on in Ideascale.",How important is getting rewarded for voting to you?,"In your opinion, the amount of voting reward is...",How much weight do you give to Community Advisor scores?,Please add any comments about the CA score and process below:,How much voting power do you control? (If you wish to answer and stay anonymous you can choose not to provide an email address.),How many wallets do you vote with?,Do you vote on behalf of others?,What are your thoughts about 1 ADA equals 1 Vote and the risk of forming a plutocracy inside Cardano?,"If there was a way to get ""expert ballots"" and ""voter advice"" that provide direction on your own voting choices, would you use them?",How many minutes in total did you spend voting in Fund 6? (please use numbers only eg 2 hours = 120),In relation to voting would you prefer to spend more lore less time?,How would you rate your general experience with voting in Catalyst Fund 6?,"If you have participated in any previous funds, did you perceive any improvement in the general process?",Give a brief run down of your voting process.,"以前のFundよりも改善されたと思う点を教えてください。(Did your voting method change from previous funds? If yes, please explain)",さらに改善して欲しい点を教えてください。(Is there anything about the voting process you had difficulties with or you think could do with improvement?),あなたは、どのように投票先を見つけましたか？ (What are the main way(s) you found out about the proposals you voted up.),あなたは日本専用カテゴリーの提案に投票を行いましたか？ (Did you vote in the F7: Connecting Japan/日本 Community Challenge?),そのうち、いくつの提案に投票しましたか？(How many Proposal did you vote for in the Japanese ),以下の中で、あなたが最も必要としているCatalystの改善点はどれですか？(In relation to Project Catalyst please indicate if you think the follow are of current and major importance.),今回実施した、この投票者参加調査アンケート(報酬付き)は重要だと思いますか？(How would you rate the importance of this or surveys like this?),今回のアンケート調査の質問内容について、どのように評価しますか？(How would you rate our execution of this survey?),"このアンケート調査について、あなたの意見をお聞かせください。(Do you have any comments, feedback or suggestions about this survey?)",このアンケート調査はどのように知りましたか？(How did you find out about the survey?),仮に、回答協力の報酬が無かった場合、あなたがこの調査に協力してくれた可能性はどのくらいありますか？(How likely are you to participate in a voter survey if it was not incentivized?)
2022/03/09 8:39:33,"Fund 7, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,1 - 5,Look at the proposal,1 - 5,Look at the proposal,NO,30分未満 (less than 30 mins),3,No,それなりに (Sometimes),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,回答を控えます (I prefer not to say),1,No,,No,,3,4,5,Yoroi,It became easier to vote,I want you to make it easier to understand voting,I knew directly from the proposer from the proposer,No,6,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),4,4,,,3
2022/03/09 8:42:36,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,No,none,Yes,1 - 5,Because Cardano is likely to prosper and flourish,0,No opposition vote,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),30分以上 (more than 30 mins),5,No,それなりに (Sometimes),5,3,いつも評価に従って投票している (I rely entirly on them),none,50k - 100k,1,No,none,Yes,60,3,5,5,none,none,none,From the IDEASCALE site (IDEASCALE),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),1,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,none,Cardano Foundation Japan Official Telegram,1
2022/03/09 8:52:35,"Fund 7, Fund 5, Fund 4, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",,25 - 34,No,I think that voting is good as much as possible because it can be fraudulent,Yes,21 - 100,Whether it will contribute to the recognition of Cardano in the future,1 - 5,Whether or not the recognition of Cardano will expand in the future,Yes,5分未満 (less than 5 min),5,No,毎回 (Always),5,2,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),1,No,I don't think anything,Yes,60,3,5,5,Vote if you think it's okay in the marketing side,You don't have to register for participation every time,I want a reward simulator,I was told by other voters (from Other Voters),Yes,1,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,I feel very useful if this is transmitted to the cardano side,twitter,1
2022/03/09 8:54:07,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,I think it is necessary to select multiple reliable agents by voting for agents.,Yes,21 - 100,A proposal that gave me a presentation for a Japanese proposer and a community. A proposal that interests you.,0,I have not voted.,Yes,5分未満 (less than 5 min),3,Yes,たまに (Rarely),5,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),"I don't know what kind of person CA is, so I use it for reference.",100k - 500k,1,No,You may decide the upper limit.,Yes,60,1,4,3,Search by category,It became easier to search.,Country category,"Directly from The Proposer, which was taught by other voters (from Other Voters)",Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,I want you to use it for improvement so that it is easy to vote.,LINE group,4
2022/03/09 8:58:19,Fund 7,"いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,6 - 20,I decided on the content and whether it would be useful for the Cardano's future,0,I didn't throw any opposite votes because I think there are their own opinions and ideas.,Yes,30分未満 (less than 30 mins),3,No,たまに (Rarely),4,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,,Yes,60,2,4,,From the smartphone catalist app,I haven't voted before,I haven't voted before,,Yes,7,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,I think such a survey is meaningful and necessary for improvement,LINE open chat,3
2022/03/09 9:58:52,"Fund 7, Fund 6","いいえ、投票だけです (No, I only vote.)",,55 - 64,No,"If you delegate to others, you will not have the opportunity to examine yourself and understand the current situation.",Yes,6 - 20,Look at the summary site,0,I don't have enough intention to make a strong opposition,Yes,5分未満 (less than 5 min),2,Yes,たまに (Rarely),2,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),It will be helpful,> 500k,1,No,It may be a certain vote to some extent,Yes,60,2,4,2,Refer to the summary site,I don't think much,"I was a little troubled because I changed my smartphone between FUND6 and FUND7. I re -registered with the same Daedalos QR code, but I want a site that can easily understand the procedure around that.",From the IDEASCALE site (IDEASCALE),Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),2,2,thank you for your hard work. Thank you for your continued support.,YUTA's LINE (Yomen Cardanoada Announcement Chat),3
2022/03/09 10:05:23,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",中国語,35 - 44,Yes,"I think it is important to be able to play a role, but on the other hand, there is concern that people will exchange voting rights.",Yes,1 - 5,For projects that I thought would be good to come out in a conversation in the Japanese LINE community,0,No opposition vote has been thrown.,Yes,30分以上 (more than 30 mins),4,No,たまに (Rarely),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I think yuta is fairly watching.,100k - 500k,1,No,I think there is a danger because it can be a political composition where the opinions of powerful people pass.,Yes,360,3,5,5,"From community conversations, etc.",The UI is easier to use,The amount of jumps on the site is large,LINE community,Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,4,"There were some questions that could be misunderstood as the same, so should I change the question method?",LINE community,2
2022/03/09 10:08:34,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,"While there are many projects and English, it is helpful, but I would like to avoid unintended results. I thought that anyone should be selected by any means, not everyone OK. For example, I wondered if there would be a recommendation from the Foundation / Community or a candidate from SPO.",Yes,21 - 100,I referred to the survey report of Yuta and ISSA of the Japan community.,0,I referred to the survey report of Yuta and ISSA of the Japan community.,Yes,30分以上 (more than 30 mins),3,No,一度もない (Never),1,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,1,No,,Yes,120,2,5,4,I'm voting one by one,I feel that the screen transition has become faster,I want you to stop the function to enter the passcode every time,I was told by other voters (from Other Voters),Yes,10,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,5,Thank you for having such an opportunity. thank you,Twitter,3
2022/03/09 10:13:36,"Fund 7, Fund 6, Fund 5, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",アラビア語,45 - 54,No,Opposition because it may be operated,Yes,1 - 5,With Yuta's guidance,0,What I want to do to increase the value of cardano,NO,5分未満 (less than 5 min),4,Yes,大体は (Usually),4,1,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,,Yes,30,2,3,2,With a smartphone you choose after translating,password,"If you can write it in Japanese, you can save the trouble of translation. I do not understand the operation well. It is hard to confirm that it was completed. The ADA commission was drawn due to the incomplete poll, so the area was wasted.",From the proposal PR Meet Up (Ideafest by Swarm),No,,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,2,,Information from yuta,5
2022/03/09 10:16:53,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",ロシア語,65 - 74,No,,Yes,1 - 5,Feasibility,1 - 5,Unexity of realization,NO,30分未満 (less than 30 mins),1,No,たまに (Rarely),5,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,1,No,No risk,Yes,10,2,5,3,Believe in intuition,Easy to see,Furthermore,From the IDEASCALE site (IDEASCALE),No,0,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,wonderful,In an online article,3
